Map,Time,Solution Length,Generated States,Traversed States,Solution
micro_cosmos_01,900.003,0,176446,46923,Not Found
micro_cosmos_02,900.008,0,260094,76208,Not Found
micro_cosmos_03,407.503,531,78412,31064,rrruulurulullrrdrdlllrrrdddllllluuurrrllldddrrrrruuulrdddllllluuuuurrrlllddrrrllldddrrrrruuullrrdddllllluuuuurrrurdllllddrrrllldddrrrrruuulrdddllllluuuuurrrrdrddddllllluuurrudlldddrrrrruuuulullrrdrddlulrurdllluururddrdlrdddllllluuuuurrrlddrluururdlllldddddrrrrruuulrdddllllluuuuurrrrdrddddllllluuuuurrddlruurrdrddlurdddllllluuurrrllldddrrrrruuullrurdlllrrrdddllllluuurruururdllllddrruurrdrddlulrrdddllllluuddrrrrruulullrrrdddllllluuudddrrrrruululluurrdrdlrululllldddduuuurrddrllruurrdrdlrulullllddrrrllldurruurrdrdllllrrrrululllldd
micro_cosmos_04,900.011,0,217546,62132,Not Found
micro_cosmos_05,900.003,0,196049,69979,Not Found
micro_cosmos_07,285.86,299,42494,15785,ldldrrrurulrdldllluruuurrddlruulldddlddrurrurulrdldlluldrrruruluulldddldrldrdrrudlluluruuuurrddrdldurullruulldddlddrdrrudlluuldrdrruulrddlluluruldrddrruulrddlluluurdrrurulrdldlllururldldrrrddllulurldrdrruulrurulrdldddllulurldrdrruuuruluullddrldlddrdrruuurulrdldddlluluurdluruuurrddrdldlrurullruulldd
micro_cosmos_08,900.113,0,142042,44160,Not Found
micro_cosmos_10,900.109,0,66999,21821,Not Found
micro_cosmos_14,900,0,66777,25203,Not Found
micro_cosmos_15,900.002,0,142592,48544,Not Found
,,,,,
,,,,,
,,,,,
,,,,,
micro_cosmos_28,129.555,121,57469,16581,ldllurldllurldrrruurldlrdrurudllldllurrlldrrrrururuuldldldururrdldlllrurldrrulldldllurrrurrdlruruuldldddlrurulddllurllldr
micro_cosmos_29,900.005,0,232531,62085,Not Found
micro_cosmos_33,900.001,0,166640,57223,Not Found
micro_cosmos_34,965,0,157602,51859,Not Found
micro_cosmos_39,900.012,0,176244,57415,Not Found
micro_cosmos_40,311.343,620,74092,25784,rurdllllddrluurrrrdrdlrulullllddrdrurllluurrrrdrdlrululuulldlldrrrlllurrurrdrdlrdrdllrrulullrrdrdlllrrrululllrrrdrdllludrrrululuullddrlulldrddrrrluulrddlluuruurrdrdlrdrdlrulullddrllluulurldrddrruurrdrdlrululllrrrululldldrrlllurrurrdrdlllrddrluurrululldlldrrrlllurrurrdrdllddlludrruurrdrdlrulullddlluurrluurrdrddrdllrrululrdrdlllrrrululuullddrrlllddrluurrrurdllllddrdrurrurdllludlluurrluurrdrdllddrrurdllllluulurldrddrruururdlllrrrdullddlluurrrrdrdllrrulullllddrdrurrrululuulldurrdrddrdllllluurrlllurldrrrdullddrdrurrrululllrrrdrdllludrrrulullrrdrdllllluurrllddrrrrruluululldurrdrddrdllllluulurldrddrruulrddrrruluululldld
